央视,#genre#
CCTV1,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV2,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV3,http://cfss.cc/api/ysp/cctv3.m3u8
CCTV4,http://58.220.219.14:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4K,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6,http://cfss.cc/api/ysp/cctv6.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV8,http://cfss.cc/api/ysp/cctv8.m3u8
CCTV9,http://cfss.cc/api/ysp/cctv9.m3u8
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV11,https://iptv.luas.edu.cn/liverespath/3d0aa0f1604f13f0ae90c2dc0590ca22a1bcaaa2/646e868153-0-0-a53121a1df5b93a74d1980270e652878/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,http://cyz32.livehbindex.hbcatv.cn/live/8a22035194884b1eb5515aac434c313c.m3u8?bitrate=2300&pt=5
CCTV15,http://gxdl-lhs.8866.org:85/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8
CCTV17,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8



地方卫视,#genre#

北京卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1588200355_-2136083744/ws_w/bjws/bjws3000/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073738&ContentId=265668911&timezone=UTC&mtv_session=923b33c07808007ff4b7b8554ab56cb9&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=b3b910e2f08747b18ff03b13155e96cb&咪咕
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240129_1/playlist.m3u8
北京卫视,https://cntv.sbs/tv?auth=231005&id=bjws
北京卫视,http://113.100.193.10:9901/tsfile/live/0122_1.m3u8
北京卫视,https://live.sjsrm.com/bjsjs/sd/live.m3u8
北京卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f/index.m3u8
北京卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=beijingHD

天津卫视,http://111.40.196.38:443/PLTV/88888888/224/3221225556/1.m3u8
天津卫视,https://cntv.sbs/tv?auth=231005&id=tjws
天津卫视,https://iptv.luas.edu.cn/liverespath/41433c450cf4747cf2600adecc560bc90f344182/c10d51d64c-0-0-eb4f25a76a7509a0131dd64742139be4/index.m3u8
天津卫视,http://218.17.196.234:9901/tsfile/live/0135_1.m3u8
天津卫视,http://113.100.193.10:9901/tsfile/live/0135_1.m3u8
天津卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=tianjinHD

河北卫视,https://cntv.sbs/tv?auth=231005&id=hbws
河北卫视,http://event.pull.hebtv.com/jishi/weishipindao.m3u8
河北卫视,https://iptv.luas.edu.cn/liverespath/0d0303a991ca71e06290b546e34104dbe0d0c64a/b12d4a68a3-0-0-521fc1584583f4058abf1ad14cee60f7/index.m3u8
河北卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=hebeiSD
河北卫视,http://111.40.196.32:443/PLTV/88888888/224/3221225564/1.m3u8
河北卫视,http://111.40.196.33:443/PLTV/88888888/224/3221225564/1.m3u8

山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8?
山西卫视,https://cntv.sbs/tv?auth=231005&id=sxiws
山西卫视,http://111.40.196.34:443/PLTV/88888888/224/3221225520/1.m3u8
山西卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=shanxiSD
山西卫视,http://113.100.193.10:9901/tsfile/live/1005_1.m3u8
山西卫视,http://218.17.196.234:9901/tsfile/live/0118_1.m3u8

内蒙古卫视,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw1589932581_-415191449/envivo_w/2018/SD/neimeng/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073739&ContentId=531261982&timezone=UTC&mtv_session=c9a5a27753539fa99cff7fe7b0773863&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f9d2e1fadbae161e8f9ee1c06f4b85df&咪咕
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
内蒙古卫视,https://cntv.sbs/tv?auth=231005&id=nmws
内蒙古卫视,http://111.40.196.31:443/PLTV/88888888/224/3221225574/1.m3u8
内蒙古卫视,http://218.17.196.234:9901/tsfile/live/0109_1.m3u8
内蒙古卫视,https://iptv.luas.edu.cn/liverespath/5a601b122fcaacb6480b65cb74ee8f76347020d6/aae176985f-0-0-f061a231739c0eef9eedd7098db170e9/index.m3u8
内蒙古卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=neimengkuSD

辽宁卫视,http://cyz32.livehbindex.hbcatv.cn/live/5000002019d84b0ba201007677bbf28c.m3u8?bitrate=2300&pt=5
辽宁卫视,http://111.40.196.27:443/0000000000001000/1000000002000024033/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000024033
辽宁卫视,http://111.40.196.27:443/0000000000001000/5000000004000011671/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000004000011671
辽宁卫视,https://cntv.sbs/tv?auth=231005&id=lnws
辽宁卫视,https://iptv.luas.edu.cn/liverespath/73aedb8ffd21b3b8afe4664591d4cb3a5cced827/bdc834c533-0-0-aefef0ed39d19073554f1c7e80a25cbc/index.m3u8
辽宁卫视,http://113.100.193.10:9901/tsfile/live/0121_1.m3u8

吉林卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1589344314_453295178/envivo_v/2018/SD/jilin/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073739&ContentId=531262154&timezone=UTC&mtv_session=a8fd605fabf2ca0814b5a56aee04bc2d&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=ec7257d80b3cd8e4a5590413a5e9cb93&咪咕
吉林卫视,http://111.40.196.27:443/0000000000001000/5000000011000031117/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031117
吉林卫视,https://cntv.sbs/tv?auth=231005&id=jlws
吉林卫视,http://111.40.196.25:443/PLTV/88888888/224/3221225642/1.m3u8
吉林卫视,http://218.17.196.234:9901/tsfile/live/0017_1.m3u8
吉林卫视,http://113.100.193.10:9901/tsfile/live/0116_1.m3u8

黑龙江卫视,http://111.40.196.29:443/PLTV/88888888/224/3221225544/1.m3u8
黑龙江卫视,https://iptv.luas.edu.cn/liverespath/fe1745c7599e85d0a34fa0ad3986ef25c2ed7c6f/62f40ca683-0-0-8f0a9a264759754e90aa804bf7e9f8a8/index.m3u8
黑龙江卫视,http://111.40.196.27:443/0000000000001000/6000000001000016510/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6000000001000016510
黑龙江卫视,https://cntv.sbs/tv?auth=231005&id=hljws
黑龙江卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=heilongjiangHD
黑龙江卫视,http://113.100.193.10:9901/tsfile/live/0143_1.m3u8

东方卫视,http://111.40.196.27:443/0000000000001000/1000000001000030202/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000030202
东方卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8
东方卫视,http://mqiptv.com:8014/ch/dfws/mqlive.m3u8
东方卫视,http://113.100.193.10:9901/tsfile/live/1010_1.m3u8
东方卫视,https://cntv.sbs/tv?auth=231005&id=dfws
东方卫视,https://iptv.luas.edu.cn/liverespath/4015e6015b3b818a4cbc2247960b8536a3cd0153/0bc51b40df-0-0-23a64a0dc546104d1ba498a41ff49540/index.m3u8

江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
江苏卫视,https://cntv.sbs/tv?auth=231005&id=jsws
江苏卫视,http://113.100.193.10:9901/tsfile/live/1009_1.m3u8
江苏卫视,http://218.17.196.234:9901/tsfile/live/0127_1.m3u8
江苏卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=jiangsuHD

浙江卫视,https://cntv.sbs/tv?auth=231005&id=zjws
浙江卫视,http://113.100.193.10:9901/tsfile/live/1008_1.m3u8
浙江卫视,http://cyz32.livehbindex.hbcatv.cn/live/5000002045414da0bcca7fb08fd34c8a.m3u8?bitrate=2300&pt=5
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/720p.m3u8
浙江卫视,https://iptv.luas.edu.cn/liverespath/f650ba03bb4883fe67a1fb7c193a00a4c0c93881/a2d2162784-0-0-56b13eabd03cd0ff33e9bc019e1fb073/index.m3u8

安徽卫视,https://cntv.sbs/tv?auth=231005&id=ahws
安徽卫视,http://113.100.193.10:9901/tsfile/live/1006_1.m3u8
安徽卫视,http://218.17.196.234:9901/tsfile/live/0130_1.m3u8
安徽卫视,http://111.40.196.27:443/0000000000001000/6000000001000009954/index.m3u8?livemode=1&stbId=10&channel-id=wasusyt&Contentid=6000000001000009954
安徽卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=anhuiSD
安徽卫视,http://cyz32.livehbindex.hbcatv.cn/live/50000020d0ab40578faaa8a023ce4d5c.m3u8?bitrate=2300&pt=5

东南卫视,https://cntv.sbs/tv?auth=231005&id=dnws
东南卫视,https://iptv.luas.edu.cn/liverespath/7a202b5f39c56db4ca3ca7a3dc21b073c9bc472a/d9afa7cc30-0-0-3e5c5bdb7f887a673145f9e5fe249e7c/index.m3u8
东南卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=dongnanHD
东南卫视,http://111.40.196.27:443/0000000000001000/1000000002000009263/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000002000009263
东南卫视,http://113.100.193.10:9901/tsfile/live/0137_1.m3u8

江西卫视,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1592308998_-1889199081/migu/kailu/jxwshd/57/20190820/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073742&ContentId=531262091&timezone=UTC&mtv_session=de50cbe717aa7f99a96fffd956d81e51&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=f8930b959a901748e45e2615bac60f75&咪咕
江西卫视,https://cntv.sbs/tv?auth=231005&id=jxws
江西卫视,http://111.40.196.27:443/0000000000001000/1000000006000268001/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000006000268001
江西卫视,https://iptv.luas.edu.cn/liverespath/5262d7f97311b82a4a460f3b8221e4a7d394c2c0/74d69d122b-0-0-db9e2346ab702f9e87c09d7de7b9d5d0/index.m3u8
江西卫视,http://113.100.193.10:9901/tsfile/live/0138_1.m3u8
江西卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=jiangxiHD

山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
山东卫视,http://mqiptv.com:8014/ch/sdws/mqlive.m3u8
山东卫视,http://l1.weihai.tv:8081/hls/oK0gP1n8et.m3u8
山东卫视,https://cntv.sbs/tv?auth=231005&id=sdws
